appliance_guess,cluster,start,end,duration_s,magnitude_w
laptop computer,1,2013-06-07 10:13:04+05:30,2013-06-07 10:21:39+05:30,515.0,52.98773193359375
water filter,5,2013-06-07 10:26:31+05:30,2013-06-07 10:26:47+05:30,16.0,38.59954833984375
television,4,2013-06-07 09:46:01+05:30,2013-06-07 10:38:08+05:30,3127.0,86.33840942382812
water motor,0,2013-06-07 10:45:58+05:30,2013-06-07 10:46:04+05:30,6.0,217.9405517578125
water motor,0,2013-06-07 10:46:39+05:30,2013-06-07 10:46:49+05:30,10.0,235.75531005859375
water filter,5,2013-06-07 10:55:08+05:30,2013-06-07 10:56:14+05:30,66.0,45.387115478515625
laptop computer,1,2013-06-07 10:34:55+05:30,2013-06-07 10:58:16+05:30,1401.0,53.336761474609375
water filter,5,2013-06-07 10:27:23+05:30,2013-06-07 11:03:14+05:30,2151.0,43.171630859375
kitchen outlets,3,2013-06-07 10:45:53+05:30,2013-06-07 11:04:43+05:30,1130.0,987.228271484375
kitchen outlets,3,2013-06-07 10:31:35+05:30,2013-06-07 11:10:24+05:30,2329.0,412.7481384277344
laptop computer,1,2013-06-07 11:42:09+05:30,2013-06-07 11:43:30+05:30,81.0,51.71600341796875
water filter,5,2013-06-07 12:11:55+05:30,2013-06-07 12:20:32+05:30,517.0,32.117462158203125
laptop computer,1,2013-06-07 12:23:03+05:30,2013-06-07 12:27:22+05:30,259.0,50.609100341796875
laptop computer,1,2013-06-07 12:28:50+05:30,2013-06-07 12:29:19+05:30,29.0,74.58822631835938
laptop computer,1,2013-06-07 12:37:22+05:30,2013-06-07 12:44:28+05:30,426.0,63.73272705078125
laptop computer,1,2013-06-07 12:18:00+05:30,2013-06-07 12:45:38+05:30,1658.0,56.588470458984375
laptop computer,1,2013-06-07 12:55:21+05:30,2013-06-07 12:55:48+05:30,27.0,52.10882568359375
water filter,5,2013-06-07 12:53:49+05:30,2013-06-07 12:58:12+05:30,263.0,37.87347412109375
laptop computer,1,2013-06-07 12:59:27+05:30,2013-06-07 13:01:37+05:30,130.0,78.73480224609375
laptop computer,1,2013-06-07 13:04:19+05:30,2013-06-07 13:08:19+05:30,240.0,72.62411499023438
water filter,5,2013-06-07 12:48:59+05:30,2013-06-07 13:14:34+05:30,1535.0,43.08978271484375
television,4,2013-06-07 13:15:13+05:30,2013-06-07 13:17:07+05:30,114.0,127.47332763671875
laptop computer,1,2013-06-07 13:11:28+05:30,2013-06-07 13:19:17+05:30,469.0,71.42529296875
water filter,5,2013-06-07 13:28:34+05:30,2013-06-07 13:29:50+05:30,76.0,43.138519287109375
laptop computer,1,2013-06-07 13:37:49+05:30,2013-06-07 13:42:05+05:30,256.0,79.24560546875
water motor,0,2013-06-07 13:51:36+05:30,2013-06-07 14:13:02+05:30,1286.0,170.15042114257812
laptop computer,1,2013-06-07 14:26:32+05:30,2013-06-07 14:33:21+05:30,409.0,58.0860595703125
water filter,5,2013-06-07 14:12:41+05:30,2013-06-07 14:39:46+05:30,1625.0,40.11114501953125
water filter,5,2013-06-07 14:10:40+05:30,2013-06-07 15:02:35+05:30,3115.0,39.426971435546875
kitchen outlets,3,2013-06-07 15:08:11+05:30,2013-06-07 15:08:53+05:30,42.0,500.3057861328125
kitchen outlets,3,2013-06-07 15:01:01+05:30,2013-06-07 15:09:32+05:30,511.0,701.2198486328125
kitchen outlets,3,2013-06-07 14:43:54+05:30,2013-06-07 15:10:12+05:30,1578.0,607.1744384765625
kitchen outlets,3,2013-06-07 15:10:58+05:30,2013-06-07 15:11:10+05:30,12.0,747.1704711914062
kitchen outlets,3,2013-06-07 15:11:44+05:30,2013-06-07 15:11:55+05:30,11.0,1006.2760009765625
kitchen outlets,3,2013-06-07 15:12:28+05:30,2013-06-07 15:12:39+05:30,11.0,615.0745239257812
kitchen outlets,3,2013-06-07 15:13:03+05:30,2013-06-07 15:14:02+05:30,59.0,615.1451416015625
kitchen outlets,3,2013-06-07 15:14:14+05:30,2013-06-07 15:15:15+05:30,61.0,545.233154296875
kitchen outlets,3,2013-06-07 15:16:27+05:30,2013-06-07 15:17:21+05:30,54.0,609.1717529296875
air conditioner,2,2013-06-07 15:17:39+05:30,2013-06-07 15:18:09+05:30,30.0,1247.266845703125
air conditioner,2,2013-06-07 15:15:26+05:30,2013-06-07 15:18:35+05:30,189.0,1045.9132080078125
air conditioner,2,2013-06-07 15:18:50+05:30,2013-06-07 15:19:27+05:30,37.0,1239.728271484375
kitchen outlets,3,2013-06-07 15:19:45+05:30,2013-06-07 15:20:21+05:30,36.0,752.59033203125
kitchen outlets,3,2013-06-07 15:20:43+05:30,2013-06-07 15:21:16+05:30,33.0,415.9434814453125
air conditioner,2,2013-06-07 15:09:56+05:30,2013-06-07 15:22:12+05:30,736.0,1234.0887451171875
water filter,5,2013-06-07 15:10:03+05:30,2013-06-07 15:22:55+05:30,772.0,34.4886474609375
kitchen outlets,3,2013-06-07 15:22:35+05:30,2013-06-07 15:23:02+05:30,27.0,703.1259765625
kitchen outlets,3,2013-06-07 15:21:40+05:30,2013-06-07 15:23:51+05:30,131.0,906.1641235351562
kitchen outlets,3,2013-06-07 15:24:15+05:30,2013-06-07 15:24:35+05:30,20.0,652.9244384765625
kitchen outlets,3,2013-06-07 15:24:58+05:30,2013-06-07 15:25:11+05:30,13.0,678.922119140625
kitchen outlets,3,2013-06-07 15:26:22+05:30,2013-06-07 15:26:33+05:30,11.0,640.1588134765625
kitchen outlets,3,2013-06-07 15:27:05+05:30,2013-06-07 15:27:18+05:30,13.0,901.7158203125
television,4,2013-06-07 15:45:15+05:30,2013-06-07 16:11:01+05:30,1546.0,108.19378662109375
television,4,2013-06-07 15:17:08+05:30,2013-06-07 16:14:24+05:30,3436.0,97.83879089355469
laptop computer,1,2013-06-07 16:29:01+05:30,2013-06-07 16:50:31+05:30,1290.0,60.70098876953125
water filter,5,2013-06-07 17:24:38+05:30,2013-06-07 17:24:59+05:30,21.0,30.25079345703125
laptop computer,1,2013-06-07 17:52:46+05:30,2013-06-07 17:56:52+05:30,246.0,73.09320068359375
water filter,5,2013-06-07 17:45:36+05:30,2013-06-07 18:03:50+05:30,1094.0,44.552154541015625
water filter,5,2013-06-07 17:37:45+05:30,2013-06-07 18:05:03+05:30,1638.0,45.52838134765625
laptop computer,1,2013-06-07 18:06:29+05:30,2013-06-07 18:06:57+05:30,28.0,57.863677978515625
laptop computer,1,2013-06-07 18:13:02+05:30,2013-06-07 18:16:51+05:30,229.0,67.8865966796875
laptop computer,1,2013-06-07 18:10:07+05:30,2013-06-07 18:20:55+05:30,648.0,58.539215087890625
water filter,5,2013-06-07 18:25:05+05:30,2013-06-07 18:25:43+05:30,38.0,45.04132080078125
television,4,2013-06-07 18:16:40+05:30,2013-06-07 18:37:16+05:30,1236.0,103.40371704101562
water filter,5,2013-06-07 18:24:20+05:30,2013-06-07 19:15:32+05:30,3072.0,37.9130859375
laptop computer,1,2013-06-07 19:11:17+05:30,2013-06-07 19:16:48+05:30,331.0,63.11224365234375
laptop computer,1,2013-06-07 19:16:59+05:30,2013-06-07 19:18:24+05:30,85.0,58.75164794921875
laptop computer,1,2013-06-07 18:46:58+05:30,2013-06-07 19:19:23+05:30,1945.0,56.19439697265625
water filter,5,2013-06-07 19:39:05+05:30,2013-06-07 20:05:33+05:30,1588.0,38.58697509765625
laptop computer,1,2013-06-07 20:01:00+05:30,2013-06-07 20:08:09+05:30,429.0,77.83642578125
water filter,5,2013-06-07 20:09:16+05:30,2013-06-07 20:09:28+05:30,12.0,42.76513671875
television,4,2013-06-07 19:32:31+05:30,2013-06-07 20:26:01+05:30,3210.0,139.0360107421875
water filter,5,2013-06-07 20:26:44+05:30,2013-06-07 20:27:46+05:30,62.0,36.5989990234375
water filter,5,2013-06-07 20:35:24+05:30,2013-06-07 20:35:32+05:30,8.0,37.5712890625
water filter,5,2013-06-07 20:40:05+05:30,2013-06-07 20:44:21+05:30,256.0,44.30517578125
laptop computer,1,2013-06-07 20:48:07+05:30,2013-06-07 20:53:46+05:30,339.0,57.6806640625
air conditioner,2,2013-06-07 20:37:39+05:30,2013-06-07 20:54:26+05:30,1007.0,1026.5634765625
water filter,5,2013-06-07 20:55:12+05:30,2013-06-07 20:59:35+05:30,263.0,46.382080078125
water filter,5,2013-06-07 20:53:27+05:30,2013-06-07 21:01:55+05:30,508.0,48.2099609375
water filter,5,2013-06-07 20:48:16+05:30,2013-06-07 21:02:01+05:30,825.0,30.13037109375
kitchen outlets,3,2013-06-07 21:01:42+05:30,2013-06-07 21:04:02+05:30,140.0,948.007568359375
laptop computer,1,2013-06-07 21:01:48+05:30,2013-06-07 21:16:01+05:30,853.0,56.102294921875
water filter,5,2013-06-07 21:16:40+05:30,2013-06-07 21:20:06+05:30,206.0,32.781005859375
kitchen outlets,3,2013-06-07 21:24:16+05:30,2013-06-07 21:24:17+05:30,1.0,398.9990234375
water motor,0,2013-06-07 21:19:24+05:30,2013-06-07 21:30:41+05:30,677.0,223.42822265625
laptop computer,1,2013-06-07 21:22:34+05:30,2013-06-07 21:35:37+05:30,783.0,54.72119140625
television,4,2013-06-07 21:15:15+05:30,2013-06-07 21:51:57+05:30,2202.0,91.530029296875
television,4,2013-06-07 22:24:18+05:30,2013-06-07 22:27:10+05:30,172.0,104.22998046875
laptop computer,1,2013-06-07 22:25:28+05:30,2013-06-07 22:28:09+05:30,161.0,71.990234375
kitchen outlets,3,2013-06-07 22:24:10+05:30,2013-06-07 22:45:55+05:30,1305.0,421.7900390625
television,4,2013-06-07 23:06:05+05:30,2013-06-07 23:15:17+05:30,552.0,103.419921875
kitchen outlets,3,2013-06-07 23:06:36+05:30,2013-06-07 23:48:49+05:30,2533.0,428.376953125
laptop computer,1,2013-06-07 23:50:53+05:30,2013-06-07 23:55:57+05:30,304.0,55.5341796875
kitchen outlets,3,2013-06-08 00:28:35+05:30,2013-06-08 00:32:15+05:30,220.0,859.10693359375
kitchen outlets,3,2013-06-08 00:47:58+05:30,2013-06-08 01:13:28+05:30,1530.0,820.56298828125
laptop computer,1,2013-06-08 01:07:30+05:30,2013-06-08 01:34:00+05:30,1590.0,57.006011962890625
laptop computer,1,2013-06-08 02:06:46+05:30,2013-06-08 02:13:10+05:30,384.0,73.45037841796875
laptop computer,1,2013-06-08 02:46:16+05:30,2013-06-08 02:52:55+05:30,399.0,55.577545166015625
air conditioner,2,2013-06-08 03:23:41+05:30,2013-06-08 03:41:32+05:30,1071.0,1169.725830078125
laptop computer,1,2013-06-08 03:46:36+05:30,2013-06-08 03:53:27+05:30,411.0,55.65869140625
laptop computer,1,2013-06-08 04:28:20+05:30,2013-06-08 04:55:18+05:30,1618.0,58.5703125
water filter,5,2013-06-08 05:22:28+05:30,2013-06-08 05:22:56+05:30,28.0,45.077880859375
air conditioner,2,2013-06-08 05:22:20+05:30,2013-06-08 05:27:38+05:30,318.0,1535.47802734375
television,4,2013-06-08 05:22:10+05:30,2013-06-08 05:58:06+05:30,2156.0,94.439208984375
water filter,5,2013-06-08 05:51:50+05:30,2013-06-08 06:12:56+05:30,1266.0,34.786376953125
water filter,5,2013-06-08 06:15:57+05:30,2013-06-08 06:21:48+05:30,351.0,39.779815673828125
kitchen outlets,3,2013-06-08 06:35:24+05:30,2013-06-08 06:56:35+05:30,1271.0,476.2611083984375
television,4,2013-06-08 06:17:18+05:30,2013-06-08 07:02:48+05:30,2730.0,117.63739013671875
water filter,5,2013-06-08 07:22:21+05:30,2013-06-08 07:24:17+05:30,116.0,40.0426025390625
laptop computer,1,2013-06-08 06:38:22+05:30,2013-06-08 07:26:06+05:30,2864.0,63.50701904296875
water filter,5,2013-06-08 07:32:25+05:30,2013-06-08 07:33:28+05:30,63.0,39.8446044921875
laptop computer,1,2013-06-08 07:34:45+05:30,2013-06-08 07:53:05+05:30,1100.0,82.98368835449219
water motor,0,2013-06-08 07:50:55+05:30,2013-06-08 07:58:53+05:30,478.0,206.62554931640625
laptop computer,1,2013-06-08 07:30:05+05:30,2013-06-08 08:01:19+05:30,1874.0,53.98199462890625
water filter,5,2013-06-08 08:01:30+05:30,2013-06-08 08:08:03+05:30,393.0,39.129913330078125
water motor,0,2013-06-08 08:20:33+05:30,2013-06-08 08:26:40+05:30,367.0,193.43975830078125
laptop computer,1,2013-06-08 08:27:41+05:30,2013-06-08 08:27:46+05:30,5.0,77.45355224609375
television,4,2013-06-08 07:56:07+05:30,2013-06-08 08:30:01+05:30,2034.0,117.0015869140625
water filter,5,2013-06-08 08:08:22+05:30,2013-06-08 08:31:15+05:30,1373.0,48.892242431640625
water filter,5,2013-06-08 09:03:50+05:30,2013-06-08 09:10:35+05:30,405.0,33.469329833984375
water filter,5,2013-06-08 09:27:10+05:30,2013-06-08 09:29:56+05:30,166.0,31.71282958984375
water filter,5,2013-06-08 09:31:44+05:30,2013-06-08 09:33:25+05:30,101.0,41.697601318359375
television,4,2013-06-08 09:44:54+05:30,2013-06-08 09:45:51+05:30,57.0,83.61099243164062
water filter,5,2013-06-08 10:03:00+05:30,2013-06-08 10:04:31+05:30,91.0,39.057342529296875
kitchen outlets,3,2013-06-08 10:39:58+05:30,2013-06-08 10:46:11+05:30,373.0,658.0330810546875
water filter,5,2013-06-08 10:46:05+05:30,2013-06-08 10:50:39+05:30,274.0,33.3182373046875
water filter,5,2013-06-08 10:51:40+05:30,2013-06-08 10:52:24+05:30,44.0,48.905731201171875
water filter,5,2013-06-08 10:53:06+05:30,2013-06-08 10:58:28+05:30,322.0,48.48455810546875
television,4,2013-06-08 10:33:06+05:30,2013-06-08 11:24:59+05:30,3113.0,114.42807006835938
water filter,5,2013-06-08 11:27:42+05:30,2013-06-08 11:29:39+05:30,117.0,38.592498779296875
kitchen outlets,3,2013-06-08 11:48:01+05:30,2013-06-08 11:48:08+05:30,7.0,484.39141845703125
kitchen outlets,3,2013-06-08 11:47:40+05:30,2013-06-08 11:48:15+05:30,35.0,483.96539306640625
kitchen outlets,3,2013-06-08 11:47:34+05:30,2013-06-08 11:48:20+05:30,46.0,493.4215087890625
water motor,0,2013-06-08 11:47:23+05:30,2013-06-08 11:48:57+05:30,94.0,309.8429870605469
kitchen outlets,3,2013-06-08 11:49:16+05:30,2013-06-08 11:49:23+05:30,7.0,465.99945068359375
kitchen outlets,3,2013-06-08 11:49:10+05:30,2013-06-08 11:49:29+05:30,19.0,468.6717224121094
kitchen outlets,3,2013-06-08 11:48:50+05:30,2013-06-08 11:49:40+05:30,50.0,462.9088134765625
kitchen outlets,3,2013-06-08 11:48:44+05:30,2013-06-08 11:49:46+05:30,62.0,455.951416015625
kitchen outlets,3,2013-06-08 11:48:36+05:30,2013-06-08 11:49:50+05:30,74.0,453.24798583984375
kitchen outlets,3,2013-06-08 11:48:29+05:30,2013-06-08 11:49:56+05:30,87.0,442.5430908203125
kitchen outlets,3,2013-06-08 11:50:18+05:30,2013-06-08 11:50:31+05:30,13.0,428.8753662109375
kitchen outlets,3,2013-06-08 11:50:12+05:30,2013-06-08 11:50:47+05:30,35.0,441.8924255371094
water filter,5,2013-06-08 11:52:51+05:30,2013-06-08 11:58:34+05:30,343.0,37.5667724609375
laptop computer,1,2013-06-08 12:01:15+05:30,2013-06-08 12:08:35+05:30,440.0,65.58988952636719
laptop computer,1,2013-06-08 12:10:01+05:30,2013-06-08 12:10:35+05:30,34.0,83.34829711914062
water motor,0,2013-06-08 13:20:53+05:30,2013-06-08 13:24:16+05:30,203.0,170.9033203125
water filter,5,2013-06-08 12:33:40+05:30,2013-06-08 13:29:20+05:30,3340.0,39.38299560546875
laptop computer,1,2013-06-08 15:06:47+05:30,2013-06-08 15:12:46+05:30,359.0,72.8973388671875
water filter,5,2013-06-08 15:05:04+05:30,2013-06-08 15:34:56+05:30,1792.0,31.07464599609375
television,4,2013-06-08 15:47:34+05:30,2013-06-08 15:47:38+05:30,4.0,109.73577880859375
television,4,2013-06-08 15:47:24+05:30,2013-06-08 15:47:49+05:30,25.0,140.93951416015625
water motor,0,2013-06-08 15:47:55+05:30,2013-06-08 15:48:02+05:30,7.0,190.95416259765625
water motor,0,2013-06-08 15:48:44+05:30,2013-06-08 15:48:53+05:30,9.0,253.79159545898438
water motor,0,2013-06-08 15:49:20+05:30,2013-06-08 15:49:30+05:30,10.0,264.1888732910156
water motor,0,2013-06-08 15:49:32+05:30,2013-06-08 15:49:44+05:30,12.0,255.54263305664062
water motor,0,2013-06-08 15:49:14+05:30,2013-06-08 15:49:51+05:30,37.0,249.8916015625
water motor,0,2013-06-08 15:49:09+05:30,2013-06-08 15:49:56+05:30,47.0,256.17803955078125
water motor,0,2013-06-08 15:49:04+05:30,2013-06-08 15:50:02+05:30,58.0,258.4139404296875
water motor,0,2013-06-08 15:50:04+05:30,2013-06-08 15:50:12+05:30,8.0,270.1167907714844
water motor,0,2013-06-08 15:50:25+05:30,2013-06-08 15:50:44+05:30,19.0,270.6478271484375
water motor,0,2013-06-08 15:51:01+05:30,2013-06-08 15:51:04+05:30,3.0,255.08551025390625
water motor,0,2013-06-08 15:51:26+05:30,2013-06-08 15:51:30+05:30,4.0,266.746826171875
water motor,0,2013-06-08 15:51:37+05:30,2013-06-08 15:51:56+05:30,19.0,256.52362060546875
water motor,0,2013-06-08 15:52:28+05:30,2013-06-08 15:52:37+05:30,9.0,245.86550903320312
water motor,0,2013-06-08 15:52:39+05:30,2013-06-08 15:52:47+05:30,8.0,255.265625
water motor,0,2013-06-08 15:53:09+05:30,2013-06-08 15:53:16+05:30,7.0,289.8875732421875
water motor,0,2013-06-08 15:53:25+05:30,2013-06-08 15:53:29+05:30,4.0,280.33319091796875
water motor,0,2013-06-08 15:53:00+05:30,2013-06-08 15:53:51+05:30,51.0,285.802490234375
water motor,0,2013-06-08 15:54:14+05:30,2013-06-08 15:54:23+05:30,9.0,285.8961181640625
water motor,0,2013-06-08 15:53:59+05:30,2013-06-08 15:54:33+05:30,34.0,279.88214111328125
water motor,0,2013-06-08 15:53:53+05:30,2013-06-08 15:54:45+05:30,52.0,265.8040771484375
television,4,2013-06-08 15:02:19+05:30,2013-06-08 15:54:51+05:30,3152.0,155.96603393554688
water motor,0,2013-06-08 15:55:07+05:30,2013-06-08 15:55:22+05:30,15.0,190.83526611328125
water motor,0,2013-06-08 15:55:29+05:30,2013-06-08 15:55:32+05:30,3.0,191.47830200195312
water motor,0,2013-06-08 15:52:55+05:30,2013-06-08 15:55:43+05:30,168.0,260.8005065917969
water motor,0,2013-06-08 15:56:09+05:30,2013-06-08 15:56:16+05:30,7.0,247.11956787109375
water motor,0,2013-06-08 15:55:55+05:30,2013-06-08 15:56:44+05:30,49.0,236.2283935546875
water motor,0,2013-06-08 15:56:56+05:30,2013-06-08 15:57:03+05:30,7.0,246.52554321289062
water motor,0,2013-06-08 15:52:17+05:30,2013-06-08 15:57:09+05:30,292.0,243.78726196289062
water motor,0,2013-06-08 15:51:58+05:30,2013-06-08 15:57:24+05:30,326.0,240.56439208984375
water motor,0,2013-06-08 15:51:17+05:30,2013-06-08 15:57:31+05:30,374.0,247.13406372070312
water motor,0,2013-06-08 15:57:56+05:30,2013-06-08 15:58:04+05:30,8.0,265.8090515136719
water motor,0,2013-06-08 15:58:06+05:30,2013-06-08 15:58:19+05:30,13.0,260.01708984375
water motor,0,2013-06-08 15:57:39+05:30,2013-06-08 15:58:25+05:30,46.0,260.5547180175781
water motor,0,2013-06-08 15:58:58+05:30,2013-06-08 15:59:01+05:30,3.0,253.83749389648438
water motor,0,2013-06-08 15:59:37+05:30,2013-06-08 15:59:50+05:30,13.0,262.2513732910156
water motor,0,2013-06-08 16:00:03+05:30,2013-06-08 16:00:07+05:30,4.0,275.4862365722656
water motor,0,2013-06-08 15:59:52+05:30,2013-06-08 16:00:17+05:30,25.0,289.0138854980469
water motor,0,2013-06-08 15:59:32+05:30,2013-06-08 16:00:23+05:30,51.0,291.3760681152344
water motor,0,2013-06-08 16:00:29+05:30,2013-06-08 16:00:39+05:30,10.0,291.5126953125
water motor,0,2013-06-08 15:59:26+05:30,2013-06-08 16:00:45+05:30,79.0,293.5549011230469
laptop computer,1,2013-06-08 15:41:20+05:30,2013-06-08 16:01:11+05:30,1191.0,67.34243774414062
television,4,2013-06-08 16:01:35+05:30,2013-06-08 16:02:30+05:30,55.0,85.67041015625
television,4,2013-06-08 15:57:16+05:30,2013-06-08 16:02:36+05:30,320.0,86.4586181640625
television,4,2013-06-08 16:03:07+05:30,2013-06-08 16:03:42+05:30,35.0,90.63821411132812
television,4,2013-06-08 16:02:51+05:30,2013-06-08 16:03:57+05:30,66.0,111.39639282226562
television,4,2013-06-08 15:56:28+05:30,2013-06-08 16:04:01+05:30,453.0,118.15304565429688
water motor,0,2013-06-08 16:04:34+05:30,2013-06-08 16:04:43+05:30,9.0,245.18780517578125
water motor,0,2013-06-08 16:00:59+05:30,2013-06-08 16:04:49+05:30,230.0,235.94964599609375
water motor,0,2013-06-08 16:00:53+05:30,2013-06-08 16:04:59+05:30,246.0,232.6829833984375
water motor,0,2013-06-08 16:00:47+05:30,2013-06-08 16:05:09+05:30,262.0,244.11526489257812
water motor,0,2013-06-08 15:58:47+05:30,2013-06-08 16:05:14+05:30,387.0,227.36514282226562
water motor,0,2013-06-08 16:05:26+05:30,2013-06-08 16:05:35+05:30,9.0,267.4977111816406
water motor,0,2013-06-08 16:05:21+05:30,2013-06-08 16:05:40+05:30,19.0,271.77294921875
laptop computer,1,2013-06-08 16:03:48+05:30,2013-06-08 16:12:56+05:30,548.0,81.62506103515625
water motor,0,2013-06-08 16:05:42+05:30,2013-06-08 16:46:14+05:30,2432.0,222.00445556640625
laptop computer,1,2013-06-08 16:13:49+05:30,2013-06-08 16:53:37+05:30,2388.0,72.1646728515625
water filter,5,2013-06-08 17:09:30+05:30,2013-06-08 17:19:57+05:30,627.0,46.13446044921875
water filter,5,2013-06-08 17:34:29+05:30,2013-06-08 17:36:28+05:30,119.0,48.6746826171875
laptop computer,1,2013-06-08 17:18:54+05:30,2013-06-08 18:04:45+05:30,2751.0,78.1678466796875
kitchen outlets,3,2013-06-08 18:11:36+05:30,2013-06-08 18:24:42+05:30,786.0,707.8184814453125
water filter,5,2013-06-08 18:21:58+05:30,2013-06-08 18:34:12+05:30,734.0,38.2747802734375
laptop computer,1,2013-06-08 18:11:30+05:30,2013-06-08 18:35:15+05:30,1425.0,71.1485595703125
kitchen outlets,3,2013-06-08 18:01:45+05:30,2013-06-08 18:37:12+05:30,2127.0,365.580322265625
water filter,5,2013-06-08 18:20:39+05:30,2013-06-08 18:38:24+05:30,1065.0,33.894439697265625
water filter,5,2013-06-08 18:03:49+05:30,2013-06-08 18:39:26+05:30,2137.0,45.716400146484375
water filter,5,2013-06-08 18:43:01+05:30,2013-06-08 18:43:52+05:30,51.0,38.56707763671875
air conditioner,2,2013-06-08 18:47:23+05:30,2013-06-08 18:47:29+05:30,6.0,1932.64794921875
air conditioner,2,2013-06-08 18:47:40+05:30,2013-06-08 18:47:49+05:30,9.0,1915.62158203125
air conditioner,2,2013-06-08 18:48:00+05:30,2013-06-08 18:48:07+05:30,7.0,2031.778076171875
air conditioner,2,2013-06-08 18:48:12+05:30,2013-06-08 18:48:24+05:30,12.0,2175.70263671875
air conditioner,2,2013-06-08 18:48:29+05:30,2013-06-08 18:48:43+05:30,14.0,2170.00537109375
air conditioner,2,2013-06-08 18:49:37+05:30,2013-06-08 18:49:46+05:30,9.0,2204.45751953125
air conditioner,2,2013-06-08 18:49:27+05:30,2013-06-08 18:49:55+05:30,28.0,2213.63671875
air conditioner,2,2013-06-08 18:49:20+05:30,2013-06-08 18:50:19+05:30,59.0,2196.1484375
air conditioner,2,2013-06-08 18:51:54+05:30,2013-06-08 18:52:00+05:30,6.0,2206.25048828125
air conditioner,2,2013-06-08 18:52:15+05:30,2013-06-08 18:52:33+05:30,18.0,2143.416748046875
